2018,IEEE,TGRS,An Integrated Spatio-Spectral-Temporal Sparse Representation Method for Fusing Remote Sensing Images with Different Resolutions.
2018,IEEE,Access,Neural-Network Aided Dynamic Control for Delivering Media Streams in Selfish Wireless Networks with Unknown Node-Selfishness
2018,IEEE,Access,A Comparative Study on Face Sketch Synthesis
2018,IEEE,Access,"L2, 1-Norm Discriminant Manifold Learning"
2018,IEEE,TIP,Eye Fixation Assisted Video Saliency Detection via Total Variation-Based Pairwise Interaction
2018,IEEE,TIP,Triplet-Based Deep Hashing Network for Cross-Modal Retrieval
2018,IEEE,TIP,Single Image Dehazing With Depth-aware Non-local Total Variation Regularization
2018,IEEE,TIP,Single Image Super-Resolution via Multiple Mixture Prior Models
2018,IEEE,TCSVT,Anchored Neighborhood Index for Face Sketch Synthesis
2018,IEEE,TCSVT,Robust and Flexible Discrete Hashing for Cross-Modal Similarity Search.
2018,IEEE,Multimeida,Discovering Latent Aspects for Diversity-induced Image Retrieval
2017,IEEE,TPAMI,Graphical Representation for Heterogeneous Face Recognition
2017,IEEE,TCSVT,Robust Sparse Coding for Mobile Image Labeling on the Cloud
2017,IEEE,TCSVT,Face Sketch Synthesis from a Single Photo-Sketch Pair
2017,IEEE,TCSVT,Superpixel-based Face Sketch-Photo Synthesis
2017,IEEE,TIP,A Non-greedy Algorithm for L1-norm LDA
2017,IEEE,Tcyb,Latent Max-Margin Multitask Learning With Skelets for 3-D Action Recognition
2017,IEEE,TIP,Bayesian Face Sketch Synthesis
2017,IEEE,TMM,Discriminative Multi-Instance Multi-Task Learning for 3D Action Recognition
2017,IEEE,TNNLS,Coarse-to-Fine Learning for Single-Image Super-Resolution
2017,IEEE,TIP, Using Gaussian Process Regression with Dictionary-based Sampling and Student-t Likelihood
2016,IEEE,TGRS,Despeckling of SAR Image Using Generalized Guided Filter with Bayesian Non-Local Means
2016,IEEE,TIP,Robust Face Sketch Style Synthesis
2016,IEEE,TNNLS,Shape-Constrained Sparse and Low-Rank Decomposition for Auroral Substorm Detection
2016,IEEE,TCyb,Semi-supervised Nonnegative Matrix Factorization via Constraint Propagation
2016,IEEE,TIP,Single Image Super-resolution Using Active-sampling Gaussian Process Regression
2016,IEEE,TMM,iscriminative Dictionary Learning with Common Label Alignment for Cross-Modal Retrieval
2016,IEEE,TGRS,Efficient Multiple Feature Learning Based Hyperspectral Image Classification With Limited Training Samples
2016,IEEE,TIP,"SERF: A Simple, Effective,Robust, and Fast Image Super-Resolver From Cascaded Linear Regression"
2016,IEEE,TSMC-S,Landmark Reranking for Smart Travel Guide Systems by Combining and Analyzing Diverse Media
2016,IEEE,TNNLS, Multiple Representations-Based Face Sketch-Photo Synthesis
2016,IEEE,TNNLS,Similarity Constraints-Based Structured Output Regression Machine: An Approach to Image Super-Resolution
2016,IEEE,TIP,Multimodal Discriminative Binary Embedding for Large-Scale Cross-Modal Retrieval
2016,IEEE,TCyb,Architecture-Driven Level Set Optimization: From Clustering to Subpixel Image Segmentation
2017,IEEE,CC,Cooperative Jamming for Enhancing Security of Cognitive Radio Networks with Multiple Primary Users
2020,IEEE,CVPR,Towards Transferable Targeted Attack
2020,IEEE,CVPRW,NTIRE 2020 Challenge on Perceptual Extreme Super-Resolution: Methods and Results
2020,IEEE,ICME,ABP: Adaptive Body Partition Model For Visible Infrared Person Re-Identification.
2020,IEEE,IGRSS,Spatial-Spectral Autoencoder Networks for Hyperspectral Unmixing
2020,IEEE,IGRSS,Hyperspectral Unmixing via Recurrent Neural Network with Chain Classifier
2019,IEEE,ICASSP, Multi-scale Spatial-temporal Networks for Person Re-identification
2019,IEEE,ICME,Improving Image Super-resolution via Feature Re-Balancing Fusion
2019,IEEE,ICME,Person re-identification with gradual background suppression
2019,IEEE,IGARSS,T-SCNN: A Two-stage Convolutional Neural Network for Space Target Recognition
2019,IEEE,IGARSS, Non-Local Compressive Network for Hyperspectral and Multispectral Data Fusion
2019,IEEE,ICIP, Learning a cascade regression for no-reference super-resolution image quality assessment
2019,IEEE,ISPACS,Influence of significant target on image quality assessment via EEG
2019,IEEE,CVPRW,NTIRE 2019 Challenge on Image Enhancement: Methods and Results
2019,IEEE,CVPRW,NTIRE 2019 Challenge on Real Image Super-Resolution: Methods and Results
2019,IEEE,ICCVW,Un-Paired Real World Super-Resolution with Degradation Consistency
2019,IEEE,ICCVW,AIM 2019 Challenge on Real-World Image Super-Resolution: Methods and Results. 
2017,IEEE,ICIP,A Nonlocal Operator Model for Morphological Image Processing
2018,IEEE,ICIP,Single Image Super Resolution based on Deep Residual Network via Lateral Modules
2018,IEEE,ICASSP,Blind Image Quality Assessment Based on Visuo-Spatial Series Statistics
2017,IEEE,ICGIP,Adaptive multi-view clustering based on nonnegative matrix factorization and pairwise co-regularization
2018,IEEE,CVPR,Fast and Accurate Single Image Super-Resolution via Information Distillation Network
2018,IEEE,CVPR,Self-Supervised Adversarial Hashing Networks for Cross-Modal Retrieval.
